Building Code	Building Name	Floor Code	Room Code	Room Name
E5	ENGINEERING BLOCK 5	01	E5-01-01	RESEARCH STAFF/ STUDENT ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-02	RESEARCH COMPUTING LAB (VACANT)
E5	ENGINEERING BLOCK 5	01	E5-01-03	OFFICE CIRCULATION
E5	ENGINEERING BLOCK 5	01	E5-01-03A	SERVER ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-03B	STAFF OFFICE
E5	ENGINEERING BLOCK 5	01	E5-01-04	COLD ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-05	LIQUID NITROGEN ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-07	INTERNAL CIRCULATION
E5	ENGINEERING BLOCK 5	01	E5-01-08	FLAMMABLE LIQUID STORE
E5	ENGINEERING BLOCK 5	01	E5-01-09	SECURITY ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-09A	BCP ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-10*	SITE EM OFFICE B
E5	ENGINEERING BLOCK 5	01	E5-01-AHU1	AHU ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-AHU2	AHU ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-COMPRES1	AIR COMPRESSOR ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-CWPR1	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	01	E5-01-CWPR2	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	01	E5-01-CWPR3	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	01	E5-01-CWPR4	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	01	E5-01-CWPR5	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	01	E5-01-CWPR6	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	01	E5-01-ELECT	ELECTRICAL ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-ELECTR1	ELECTRICAL RISER
E5	ENGINEERING BLOCK 5	01	E5-01-EXTCOR1	EXTERNAL CORRIDOR
E5	ENGINEERING BLOCK 5	01	E5-01-EXTCOR2	EXTERNAL CORRIDOR
E5	ENGINEERING BLOCK 5	01	E5-01-FCC	FIRE COMMAND CENTRE
E5	ENGINEERING BLOCK 5	01	E5-01-GAS2	GAS 2
E5	ENGINEERING BLOCK 5	01	E5-01-GAS3	GAS CYLINDER ROOM
E5	ENGINEERING BLOCK 5	01	E5-01-LIFTLOB	LIFT LOBBY
E5	ENGINEERING BLOCK 5	01	E5-01-MALE	MALE TOILET
E5	ENGINEERING BLOCK 5	01	E5-01-OSS1	OPEN SHELTERED SPACE
E5	ENGINEERING BLOCK 5	01	E5-01-OSS2	OPEN SHELTERED SPACE
E5	ENGINEERING BLOCK 5	01	E5-01-OSS3	OPEN SHELTERED SPACE
E5	ENGINEERING BLOCK 5	01	E5-01-STAIR1	STAIRCASE
E5	ENGINEERING BLOCK 5	01	E5-01-STAIR2	STAIRCASE
E5	ENGINEERING BLOCK 5	01	E5-01-STAIR3	STAIRCASE
E5	ENGINEERING BLOCK 5	01	E5-01-STAIR4	STAIRCASE
E5	ENGINEERING BLOCK 5	01	E5-01-STAIR5	STAIRCASE
E5	ENGINEERING BLOCK 5	01	E5-01-STORE1	STORE
E5	ENGINEERING BLOCK 5	01	E5-01-STORE2	STORE
E5	ENGINEERING BLOCK 5	01	E5-01-TELR1	TELECOMM RISER
E5	ENGINEERING BLOCK 5	01	E5-01-TELR2	TELECOMM RISER
E5	ENGINEERING BLOCK 5	02	E5-02-01	PROFESSIONAL OFFICERS
E5	ENGINEERING BLOCK 5	02	E5-02-02	UTILITY / STORE ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-03	STUDENT DISCUSSION ROOM I/EXAM PROCESSING ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-04	STUDENT DISCUSSION ROOM II
E5	ENGINEERING BLOCK 5	02	E5-02-05	SERVER ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-06	CHBE CONFERENCE ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-07	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-08	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-09	GENERAL OFFICE (DEPT OF CHEMICAL & BIOMOLECULAR ENGINEERING
E5	ENGINEERING BLOCK 5	02	E5-02-10	OFFICE CIRCULATION
E5	ENGINEERING BLOCK 5	02	E5-02-10A	STAFF OFFICE
E5	ENGINEERING BLOCK 5	02	E5-02-10B	COMMITTEE WORKING ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-10C	PANTRY
E5	ENGINEERING BLOCK 5	02	E5-02-10D	STAFF OFFICE
E5	ENGINEERING BLOCK 5	02	E5-02-10E	STAFF OFFICE
E5	ENGINEERING BLOCK 5	02	E5-02-11	ChBE OFFICE
E5	ENGINEERING BLOCK 5	02	E5-02-11A	SECRETARY OFFICE
E5	ENGINEERING BLOCK 5	02	E5-02-11B	HEAD OF DEPT
E5	ENGINEERING BLOCK 5	02	E5-02-11C	STAFF OFFICE
E5	ENGINEERING BLOCK 5	02	E5-02-12	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-13	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-14	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-15	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-16	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-17	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-18	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-19	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-20	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-21	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-22	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-23	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-24	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-25	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-26	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-27	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-28	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-29	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-30	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-31	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-32	EXECUTIVE SEMINAR ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-33	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-34	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-35	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-36	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-37	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-38	STAFF ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-AHU1	AHU ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-AHU2	AHU ROOM
E5	ENGINEERING BLOCK 5	02	E5-02-CWPR	CHILLED WATER PIPE RISER
E5	ENGINEERING BLOCK 5	02	E5-02-ELECTR1	ELECTRICAL RISER
E5	ENGINEERING BLOCK 5	02	E5-02-ELECTR2	ELECTRICAL RISER
E5	ENGINEERING BLOCK 5	02	E5-02-EXTCOR	EXTERNAL CORRIDOR
